nctId,url,title,status,phase,studyType,enrollment,leadSponsor,collaborators,conditions,interventions,startDate,completionDate,lastUpdate,locationsCount,countries,briefSummary,scrapedAt
NCT06461988,https://clinicaltrials.gov/study/NCT06461988,Talquetamab & Lenalidomide as Post Stem Cell Transplant Maintenance in Multiple Myeloma,RECRUITING,PHASE2,INTERVENTIONAL,20,Stanford University,"Janssen Scientific Affairs, LLC",Multiple Myeloma; Post Stem Cell Transplant,DRUG: Talquetamab; DRUG: Talquetamab and Lenalidomide,2025-06-05,2026-06,2025-08-24,1,United States,Multiple myeloma (MM) is a heterogenous plasma cell malignancy characterized by clonal proliferation of plasma cells and organ damage. Autologous transplantation with high dose chemotherapy is the standard of care in frontline treatment of eligible patients with MM.,2026-06-22T20:32:14.538Z
NCT04063527,https://clinicaltrials.gov/study/NCT04063527,Phase III Trial of Stage I Ovarian Cancer After Surgery,RECRUITING,PHASE3,INTERVENTIONAL,360,Japanese Gynecologic Oncology Group,Korean Gynecologic Oncology Group,Epithelial Ovarian Cancer,DRUG: adjuvant chemotherapy,2012-07-20,2030-02-01,2019-08-30,103,Japan; South Korea,To compare the Overall survival of adjuvant chemotherapy versus observation in stage I epithelial ovarian cancer after comprehensive staging surgery,2026-06-22T20:32:14.588Z
NCT05422027,https://clinicaltrials.gov/study/NCT05422027,Selinexor Plus VRd in High Risk Newly Diagnosed Multiple Myeloma,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,42,Xia Zhongjun,Antengene Corporation,Multiple Myeloma,DRUG: Selinexor; DRUG: Bortezomib; DRUG: Lenalidomide; DRUG: Dexamethasone,2022-07-25,2025-12-31,2024-06-17,4,China,"This is a single-arm and open-label study to explore XVRd (ATG-010, Bortezomib, Lenalidomide and Dexamethasone) regimen in high-risk newly diagnosed multiple myeloma.The primary objective of the dose escalation study is to determine the safety, tolerability, and recommended phase II dose (RP2D) of selinexor; Then dose expansion at the RP2D level based on dose escalation phase will be conducted to evaluate the efficacy, safety and tolerability.The enrollment period for this study is expected to be approximately 12 months.

The study will end when all patients have completed 12 cycles treatment/follow-up since the initiation of the study drug, or the last patient has expired, has been lost to follow-up, or has withdrawn consent, whichever occurs first.",2026-06-22T20:32:14.612Z
NCT05413473,https://clinicaltrials.gov/study/NCT05413473,Northern Alberta Linac-MR Image-Guided Radiotherapy (Northern LIGHTs-2),RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,99,AHS Cancer Control Alberta,,Cancer,DEVICE: MR guided radiotherapy,2023-02-08,2030-01,2025-06-15,1,Canada,"Cancers are often treated with external beam radiotherapy. Current radiotherapy treatments are performed using computed tomography (also known as CT) scans which may not always clearly identify the cancer. In some instances, magnetic resonance imaging (MRI) may be able to better identify cancers. Therefore, efforts are currently underway to use the MRI scans to improve radiotherapy treatments or eventually even use radiotherapy equipment that only uses MRI scans to guide treatments. This new technology that will only use MRI scans to guide treatments is called the Linac-MR (linear accelerator with an MRI). This new Linac-MR is a unique innovation at the Cross Cancer Institute, with theoretical advantages over other Linac-MR machines that are being tested elsewhere in the world. This feasibility study is being done as a first step in clinical development of the Linac-MR, as this new technology has to be tested to see if it is acceptable to both doctors and participants. The purpose of this Phase I/II study is (1) to verify treatment completion as intended and scheduled the oncology team, and (2) to evaluate treatment effects, including any expected or unexpected radiation side effects and cancer response to radiation. This study will allow the researchers at the Cross Cancer Institute to develop this technology further by conducting additional studies to take advantage of MRI scanning on tumor tracking during radiation treatments.",2026-06-22T20:32:14.641Z
NCT06059469,https://clinicaltrials.gov/study/NCT06059469,PSMA-PET/CT to Assess the Expression of Specific Membrane Antigen (PSMA) in Patients With Progressive Triple-negative Breast Cancer.,RECRUITING,PHASE2,INTERVENTIONAL,20,Jules Bordet Institute,,TNBC - Triple-Negative Breast Cancer,DIAGNOSTIC_TEST: Ga-PSMA PET/CT,2022-05-30,2025-12,2025-07-18,1,Belgium,"This is a descriptive, prospective, single centre study. This study will assess PSMA expression via the uptake of radiolabelled PSMA-ligand using PET/CT imaging in mTNBC lesions pre-identified on 18F-FDG PET/CT in order to evaluate the feasibility of molecular radionuclide therapy in refractory mTNBC using the Lutetium-177 radiolabelled PSMA.",2026-06-22T20:32:14.667Z
NCT07512583,https://clinicaltrials.gov/study/NCT07512583,Clinical Studies of TQB2930 Injection for the Treatment of Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,178,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,Advanced Solid Tumor,DRUG: TQB2930 injection+TQB2102 for injection,2026-05-27,2028-12,2026-06-08,3,China,"This is a multicenter, open-label, multi-cohort phase Ib/II clinical study to evaluate the efficacy and safety of TQB2930 in combination with TQB2102 in patients with HER2-expressing advanced solid tumors.",2026-06-22T20:32:14.689Z
NCT06193356,https://clinicaltrials.gov/study/NCT06193356,Detection of Endoscopic Resection Scars and Delineation of Recurrence is Trainable,RECRUITING,NA,INTERVENTIONAL,141,"University Hospital, Ghent",,Colorectal Polyp; Colorectal Cancer,OTHER: Learning tool,2024-11-11,2027-01-01,2025-11-25,1,Belgium,"Colorectal cancer is prevented by colonoscopy and polypectomy. Failure to recognize the endoscopic resection scar after Endoscopic Mucosal Resection (EMR) risks unrecognized recurrent or residual adenoma (RRA), which may propagate into post-colonoscopy colorectal cancer. Expert series suggest scar recognition and interrogation is well performed with a high negative predictive value of endoscopic imaging vs histopathology. In this study the authors will investigate the performance of endoscopic imaging in detecting RRA at an endoscopic resection scar amongst general endoscopist and the impact of a learning intervention on recognition of RRA.

After consent is given, the participant will open the online survey and fill this in.

First the participant will be asked to create a pseudonym (name+year of birth) and fill in their demographical information (Grade, years in current role, colonoscopy experience, experience of colonic tissue resection, country of employment

The first 15 pictures will be shown prior to a learning intervention. For each picture the same questions will be asked:

* Is this an endoscopic resection scar?
* Based on this image does the scar demonstrate evidence of residual or recurrent adenoma (RRA)?
* What is your level of confidence?
* If the scar shows RRA, how would you treat it? (skip if you feel no RRA).
* If the scar does not show RRA do you feel there is another diagnosis? After the first 15 pictures a video-based learning tool will be shown on detection of RRA.

After the learning tool 15 different pictures will be shown, the same questions will be asked. All responses will be collected by the investigators. Statistical analysis will be performed using visual studio code (Microsoft, Redmond, USA) Images will be selected from the 'Australian Colonic LSL Endoscopic Resection Study' (ACE) database, which is an international multicentre registry of images and videos for retrospective analysis of colonic lesions. Images, videos, procedural information, and histopathological data are stored on a secure online web portal after written informed consent of every participating patient.",2026-06-22T20:32:14.713Z
NCT07159451,https://clinicaltrials.gov/study/NCT07159451,"A Short-term Preoperative, Evaluating Activity and Safety of Elacestrant Monotherapy as Compared to Elacestrant + Ovarian Function Suppression (LHRH Agonist) in Premenopausal Patients With Stage I-II ER+/HER2- Breast Cancer",RECRUITING,PHASE2,INTERVENTIONAL,140,"Gustave Roussy, Cancer Campus, Grand Paris",Menarini Group,Breast Cancer,DRUG: Elacestrant; DRUG: Leuprorelin,2025-10-06,2027-05-29,2025-12-01,1,France,"A prospective randomized trial designed to evaluate the mean decrease in Ki67 after 4 weeks of elacestrant monotherapy and in combination with leuprorelin in patients with early-stage HR+ BC. This preoperative study will enroll consecutive patients with early stage HR+ BC who are not candidates for neoadjuvant chemotherapy but are eligible for short-term preoperative treatment with elacestrant, with or without leuprorelin, followed by breast surgery. A total of three dedicated Formalin-fixed paraffin embedded (FFPE) samples (mandatory for all patients), along with two frozen biopsy (only for participants at Gustave Roussy), are planned to be collected at the time of inclusion from the biopsy sample and from the surgical specimen. Blood samples will also be collected throughout the study.",2026-06-22T20:32:14.739Z
NCT07381231,https://clinicaltrials.gov/study/NCT07381231,Immunotherapy With Adaptive Pulse Radiotherapy in Solid Tumors,RECRUITING,PHASE2,INTERVENTIONAL,35,Samsung Medical Center,,Cancer,RADIATION: Pulse radiation therapy,2025-09-26,2031-09-30,2026-02-02,1,South Korea,"The goal of this clinical trial is to find out whether Adaptive Pulse Radiotherapy (Pulse RT) combined with immune checkpoint inhibitors (ICIs) helps treat advanced solid tumors.

It will also check how safe this combined treatment is and how it affects the immune system and quality of life.

The main questions the study will try to answer are:

Does adding Pulse RT to ICIs improve tumor response and survival? What side effects occur when participants receive Pulse RT with ICIs? How does the treatment change immune-related blood and tissue markers? Does the treatment affect participants' quality of life?

Researchers will compare this new approach to usual ICI treatment to see whether Pulse RT makes a difference.

Participants will:

Continue to receive their standard ICI treatment. Receive 2-3 sessions of high-dose Pulse RT (8-10 Gy each) given about every 3 weeks.

Have the treatment volume adjusted based on how their tumors respond. Visit the clinic regularly for check-ups, imaging, blood tests, and quality-of-life questionnaires.",2026-06-22T20:32:14.761Z
NCT07201337,https://clinicaltrials.gov/study/NCT07201337,Reduced-dose vs Standard-dose Irradiation for Low-risk Clinical Target Volume in Nasopharyngeal Carcinoma.,RECRUITING,PHASE3,INTERVENTIONAL,700,Sun Yat-sen University,"Cancer Hospital Chinese Academy of Medical Science, Shenzhen Center; Affiliated Hospital of Guangdong Medical University; The University of Hong Kong-Shenzhen Hospital; Dongguan People's Hospital; Affiliated Cancer Hospital of Shantou University Medical College",Nasopharyngeal Cancinoma (NPC),RADIATION: Radiation Therapy; RADIATION: Radiation Therapy,2025-11-17,2031-11-17,2026-04-06,6,China,"To evaluate the locoregional control, survival rate, toxicity, and quality of life in patients with nasopharyngeal carcinoma treated with reduced prophylactic irradiation doses to the Low-Risk Clinical Target Volume (CTV).",2026-06-22T20:32:14.808Z
