company,ats,title,location,department,url,postedAt,scrapedAt
stripe,greenhouse,"Account Executive, AI Sales (Grower)","San Francisco, CA",,https://stripe.com/jobs/search?gh_jid=7954688,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Commercial Hunter (Japanese fluency)",Japan,,https://stripe.com/jobs/search?gh_jid=7789539,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Cross Border China",Singapore,,https://stripe.com/jobs/search?gh_jid=7893199,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive - Enterprise, Grower","US-Remote, US-San Francisco, US-Chicago, US-New York, US-Seattle",,https://stripe.com/jobs/search?gh_jid=7993151,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise - Grower","US-New York, US-Chicago, US-Atlanta, US-San Francisco",,https://stripe.com/jobs/search?gh_jid=7997555,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Grower (Australia)","Sydney, Australia",,https://stripe.com/jobs/search?gh_jid=7717676,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Grower (Billing)",London,,https://stripe.com/jobs/search?gh_jid=7607568,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise - Hunter","US-San Francisco, US-Chicago, US-New York",,https://stripe.com/jobs/search?gh_jid=7994330,2026-06-22T11:41:08-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Hunter (DACH Market)  ",Germany ,,https://stripe.com/jobs/search?gh_jid=7825578,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Hunter (French fluency)",Paris,,https://stripe.com/jobs/search?gh_jid=7458833,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Hunter (Iberia Market) ",Spain,,https://stripe.com/jobs/search?gh_jid=7394627,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Hunter (Japanese fluency)",Tokyo,,https://stripe.com/jobs/search?gh_jid=7528816,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Platforms (Grower)","San Francisco, CA; Chicago, IL & New York, NY",,https://stripe.com/jobs/search?gh_jid=7576967,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Enterprise Platforms, Hunter","New York, NY; San Francisco, CA; Seattle, WA; Los Angeles, CA; Denver, CO; Austin, TX; US-West Remote",,https://stripe.com/jobs/search?gh_jid=7961609,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Existing Business, Platforms","New York, NY",,https://stripe.com/jobs/search?gh_jid=7922618,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Funded Startups, Hunter","San Francisco, New York City ",,https://stripe.com/jobs/search?gh_jid=7746888,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Hunter (Portuguese Speaking)",Madrid,,https://stripe.com/jobs/search?gh_jid=7908925,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Mid Market (Hunter)",Chicago,,https://stripe.com/jobs/search?gh_jid=7863714,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Platforms",London,,https://stripe.com/jobs/search?gh_jid=7451366,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
stripe,greenhouse,"Account Executive, Platforms (French Speaking)","Dublin, Paris",,https://stripe.com/jobs/search?gh_jid=7984715,2026-06-19T12:11:02-04:00,2026-06-22T20:32:34.249Z
ramp,ashby," Security Engineer, Cloud","New York, NY (HQ)",Engineering,https://jobs.ashbyhq.com/ramp/34413f8d-26bf-4bbc-8ade-eb309a0e2245,2026-04-07T17:12:35.753+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,AI Operations Specialist | Agentic Workflows,"New York, NY (HQ)",Product,https://jobs.ashbyhq.com/ramp/63df0ffc-bdc6-40ba-906f-fe03378536b0,2026-03-17T20:30:40.304+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,"Mobile Engineer, Android","New York, NY (HQ)",Engineering,https://jobs.ashbyhq.com/ramp/f564dcf9-9390-4a3f-896f-8047a5086040,2025-07-31T21:58:34.674+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,"Software Engineer, Frontend","New York, NY (HQ)",Engineering,https://jobs.ashbyhq.com/ramp/4e64ab86-4e30-403b-b1b9-41dc052570ce,2023-03-09T17:44:00.817+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,Technical Program Manager,"New York, NY (HQ)",Engineering,https://jobs.ashbyhq.com/ramp/1db75064-e38c-4b21-8310-21471943d0be,2026-05-22T16:15:13.252+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,"Mobile Engineer, iOS","New York, NY (HQ)",Engineering,https://jobs.ashbyhq.com/ramp/4859cd5e-f2a9-44d7-81f7-8bfc0e62369f,2025-07-31T21:50:51.242+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,Partner Development Representative | Accounting ,"New York, NY (HQ)",Sales,https://jobs.ashbyhq.com/ramp/b55447c0-4adc-42eb-9ca2-f88fd44e0e5b,2025-07-25T17:14:33.373+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,Account Manager | Commercial,"New York, NY (HQ)",Sales,https://jobs.ashbyhq.com/ramp/b9568fb8-a47e-4738-87fb-a6d88c3a505f,2025-12-10T14:44:21.253+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,Product Designer,"New York, NY (HQ)",Design,https://jobs.ashbyhq.com/ramp/eca54d0e-232a-4c3e-bfcc-d6c6add393f5,2026-02-09T20:22:43.425+00:00,2026-06-22T20:32:34.913Z
ramp,ashby,Partner Development Representative | Financial Institutions,"New York, NY (HQ)",Sales,https://jobs.ashbyhq.com/ramp/29d188c7-0529-4bc8-a04a-57902df2a7ae,2026-04-20T20:22:37.571+00:00,2026-06-22T20:32:34.913Z
