recallNumber,status,classification,recallingFirm,reason,productDescription,productQuantity,distributionPattern,voluntaryMandated,city,state,country,recallInitiationDate,reportDate,scrapedAt
D-0558-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"HALEON CALCIUM CARBONATE TUMS ANTACID, Assorted Fruit Tablets, 1000 mg, 160-count bottle, Haleon, Warren, NJ 07059, UPC 3 07660 74610 2.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.633Z
D-0554-2026,Ongoing,Class II,"Spectra Medical Devices, Llc",Lack of Assurance of Sterility,"Lidocaine HCl Injection USP, 25x5 mL, Single-Dose Ampules, Rx Only, Distributed by: Spectra Medical Devices, LLC, Wilmington, Made in S. Korea, NDC 65282-1605-1.",210625 ampules,USA Nationwide,Voluntary: Firm initiated,Wilmington,MA,United States,20260512,20260610,2026-06-22T20:32:40.720Z
D-0572-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"HyVee, Ultra Strength Antacid, Calcium Carbonate 1000 mg, 72 CHEWABLE TABLETS, DISTRIBUTED BY: HY-VEE INC., Inc., WEST DES MOINES, IA 50266, UPC: 0 75450 82514 5.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.748Z
D-0565-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"CAREone, EXTRA STRENGTH CALCIUM ANTACID, Calcium Carbonate 750 mg, 96 chewable Tablets, Distributed by: FOODHOLD U.S.A, LLC, LANDOVER, MD 20785, NDC 72476-127-80.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.770Z
D-0571-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"HyVee, Extra Strength Antacid, Calcium Carbonate 750 mg, 96 CHEWABLE TABLETS, DISTRIBUTED BY: HY-VEE INC., Inc., WEST DES MOINES, IA 50266, UPC: 0 75450 82497 1.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.795Z
D-0552-2026,Ongoing,Class III,Eugia US LLC,"Labeling: Not Elsewhere Classified: The label wrap covers the barcode, making it hard to scan","Lidocaine HCl Injection, USP 2%, 40 mg/2 mL (20 mg/mL), 2 mL per Single-Dose Vial, Rx Only, Mfd. in India for: Eugia US LLC, E. Windsor, NJ 08520.  NDC: 55150-164-02","168,300 vials",US Nationwide.,Voluntary: Firm initiated,East Windsor,NJ,United States,20260518,20260610,2026-06-22T20:32:40.833Z
D-0579-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"TopCare health, ULTRA STRENGTH, Antacid Tablets, CALCIUM CARBONATE 1000mg, 72 CHEWABLE TABLETS, DISTRIBUTED BY TOPCO ASSOCIATES LLC.,ELK GROVE VILLAGE, IL 60007, NDC 76162-129-68.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.866Z
D-0575-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"GOODSENSE Ultra Strength, Antacid TABLETS, Calcium Carbonate 1000 mg, 72 Chewable Tablets, Distributed by: Geiss, Destin & Dunn, inc., Peachtree City, GA, NDC 50804-171-68.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.898Z
D-0559-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"HALEON CALCIUM CARBONATE TUMS ANTACID, Assorted Fruit Tablets, 750 mg, 330-count bottle, Haleon, Warren, NJ 07059, UPC 3 0766  3072 10 9.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.917Z
D-0567-2026,Ongoing,Class II,Guardian Drug Co. Inc.,Presence of foreign substance: small metallic particles in chewable tablets.,"DISCOUNT drug mart, EXTRA STRENGTH, ANTACID TABLETS, Calcium Carbonate 750 mg, 96 Tablets, Distributed by: Drug Mart- Food Fair Medina, OH 44256, UPC: 0 93351 03992 8.",,U.S.A. Nationwide,Voluntary: Firm initiated,Dayton,NJ,United States,20260528,20260610,2026-06-22T20:32:40.941Z
