company,cik,ticker,form,fileDate,accessionNumber
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2021-06-01,0001161697-21-000289
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2022-05-31,0001161697-22-000273
Catalyst Crew Technologies Corp.  (CCTC)  (CIK 0001477960),0001477960,LMED,10-K/A,2026-05-04,0001477932-26-002727
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2021-06-01,0001161697-21-000289
"Loan Artificial Intelligence Corp.  (LAAI, VEST)  (CIK 0001594968)",0001594968,LAAI,10-K,2026-04-15,0001683168-26-002984
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2019-08-26,0001161697-19-000352
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2020-07-31,0001161697-20-000345
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2020-07-28,0001161697-20-000334
MPHASE TECHNOLOGIES INC  (XDSL)  (CIK 0000825322),0000825322,,10-K,2019-10-15,0001493152-19-015506
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2019-11-04,0001161697-19-000466
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2019-08-29,0001161697-19-000356
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2020-08-10,0001161697-20-000363
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2021-06-01,0001161697-21-000294
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K,2026-06-09,0001493152-26-027796
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,AITX,10-K/A,2024-05-29,0001493152-24-021767
