companies,ciks,form,rootForms,fileDate,periodEnding,accessionNumber,fileNumbers,states,sics,indexUrl,scrapedAt
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2021-06-01,2021-02-28,0001161697-21-000289,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169721000289/0001161697-21-000289-index.htm,2026-06-22T20:32:21.706Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K/A,10-K,2022-05-31,2022-02-28,0001161697-22-000273,000-55079,MI,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169722000273/0001161697-22-000273-index.htm,2026-06-22T20:32:21.760Z
Catalyst Crew Technologies Corp.  (CCTC)  (CIK 0001477960),0001477960,10-K/A,10-K,2026-05-04,2025-12-31,0001477932-26-002727,000-56634,,7370,https://www.sec.gov/Archives/edgar/data/1477960/000147793226002727/0001477932-26-002727-index.htm,2026-06-22T20:32:21.783Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2021-06-01,2021-02-28,0001161697-21-000289,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169721000289/0001161697-21-000289-index.htm,2026-06-22T20:32:21.812Z
"Loan Artificial Intelligence Corp.  (LAAI, VEST)  (CIK 0001594968)",0001594968,10-K,10-K,2026-04-15,2025-12-31,0001683168-26-002984,000-56529,,7900,https://www.sec.gov/Archives/edgar/data/1594968/000168316826002984/0001683168-26-002984-index.htm,2026-06-22T20:32:21.832Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2019-08-26,2019-02-28,0001161697-19-000352,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169719000352/0001161697-19-000352-index.htm,2026-06-22T20:32:21.855Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K/A,10-K,2020-07-31,2020-02-29,0001161697-20-000345,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169720000345/0001161697-20-000345-index.htm,2026-06-22T20:32:21.881Z
MPHASE TECHNOLOGIES INC  (XDSL)  (CIK 0000825322),0000825322,10-K,10-K,2019-10-15,2019-06-30,0001493152-19-015506,000-30202,MD,3690,https://www.sec.gov/Archives/edgar/data/825322/000149315219015506/0001493152-19-015506-index.htm,2026-06-22T20:32:21.910Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,10-K,2020-07-28,2020-02-29,0001161697-20-000334,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169720000334/0001161697-20-000334-index.htm,2026-06-22T20:32:21.930Z
Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K/A,10-K,2019-11-04,2019-02-28,0001161697-19-000466,000-55079,NV,3714,https://www.sec.gov/Archives/edgar/data/1498148/000116169719000466/0001161697-19-000466-index.htm,2026-06-22T20:32:21.964Z
